#PROTEIN	GENE ID
REV	6129
REV	10927
REV	506
REV	6633
REV	6632
REV	805;808;801
REV	6206
REV	203068
REV	6137
REV	3309
REV	60488
REV	5111
REV	72
REV	23012
REV	6139
REV	6234
REV	25873
REV	2079
REV	6161
REV	6136
REV	6135
REV	6132
REV	3857
REV	10376
REV	4736
REV	6152
REV	51373
REV	6188
REV	6143
REV	4691
REV	8329;8330;8336;8969;8332
REV	3183
REV	1207
REV	506
REV	1660
REV	6176
REV	64968
REV	6175
REV	6223
REV	6130
REV	10606
REV	6205
REV	6142
REV	6154
REV	4904
REV	3178
REV	6189
REV	6194
REV	23046
REV	3852
REV	11329
REV	6141
REV	708
REV	6224
REV	3312
REV	25777
REV	10949
REV	6173
REV	9967
REV	3181
REV	8761
REV	7001
REV	3608
REV	11100
REV	6208
REV	7153
REV	6222
REV	5052
REV	10419
REV	83759
REV	9349
REV	8971
REV	6129
REV	79084
REV	3192
REV	10492
REV	6191
REV	28971
REV	28957
REV	4288
REV	552900;654483
REV	6128
REV	9045
REV	6727
REV	8241
REV	4282
REV	6206
REV	6203
REV	498
REV	6202
REV	6210
REV	60
REV	11224
REV	6157
REV	6125
REV	3848
REV	6158
REV	6187
REV	5636
REV	3009
REV	3006
REV	6632
REV	1975
REV	203068
REV	6137
REV	3309
REV	3868
REV	3854
REV	6742
REV	6176
REV	6181
REV	9188
REV	3832
REV	319101
REV	6136
REV	6135
REV	338785
REV	3857
REV	286887
REV	6206
REV	6193
REV	6137
REV	3853
REV	6202
REV	3855
REV	6208
REV	60
REV	10521
REV	6217
REV	1655
REV	3861
REV	3880
REV	3850
REV	3866
REV	6209
REV	6152
REV	3848
REV	3858
REV	6223
REV	6158
REV	55692
REV	6143
REV	6146
REV	3852
REV	6187
REV	5495
REV	51350
REV	1072
REV	129531
REV	26986
REV	3872
REV	4869
REV	3192
REV	1207
REV	3009
REV	3006
REV	10155
REV	51631
REV	85236
REV	79080
REV	3856
REV	54474
REV	6224
REV	6227
REV	3312
REV	6222
REV	3849
GP160	55969
GP160	5096
GP160	8208
GP160	10376
GP160	5095
GP160	5686
GP160	3185
GP160	2923
GP160	811
GP160	9097
GP160	10005
GP160	51172
GP160	9276
GP160	9377
GP160	7280
GP160	6137
GP160	51726
GP160	389
GP160	6132
GP160	3187
GP160	5701
GP160	3329
GP160	6147
GP160	2590
GP160	790
GP160	821
GP160	284184
GP160	84188
GP160	7535
GP160	10294
GP160	6950
GP160	5520
GP160	80305
GP160	60
GP160	1020
GP160	1021
GP160	6143
GP160	6146
GP160	5708
GP160	8520
GP160	10598
GP160	391
GP160	7037
GP160	1207
GP160	1072
GP160	5706
GP160	9535
GP160	5931
GP160	8607
GP160	27248
GP160	2783
GP160	5589
GP160	11331
GP160	3482
GP160	6175
GP160	10971
GP160	51035
GP160	10528
GP160	10381
GP160	23753
GP160	4670
GP160	498
GP160	5825
GP160	9861
GP160	4904
GP160	2673
GP160	81929
GP160	54331
GP160	2316
GP160	5684
GP160	5315
GP160	11079
GP160	916
GP160	7415
GP160	3998
GP160	8570
GP160	4172
GP160	8087
GP160	6122
GP160	11273
GP160	6138
GP160	5880
GP160	7184
GP160	9445
GP160	23637
GP160	23193
GP160	6189
GP160	3858
GP160	5091
GP160	1915
GP160	5700
GP160	28639
GP160	5705
GP160	6184
GP160	2539
GP160	2597
GP160	6141
GP160	3312
GP160	25777
GP160	51290
GP160	23225
GP160	1267
GP160	6636
GP160	3811
GP160	26227
GP160	5634
GP160	440026
GP160	4144
GP160	1312
GP160	372
GP160	170575
GP160	2530
GP160	5925
GP160	10856
GP160	489
GP160	7203
GP160	57488
GP160	1314
GP160	10960
GP160	58
GP160	2222
GP160	3106
GP160	1655
GP160	567
GP160	70
GP160	2771
GP160	7852
GP160	5052
GP160	5518
GP160	1047
GP160	3326
GP160	23353
GP160	292
GP160	3306
GP160	54732
GP160	140465
GP160	6129
GP160	55151
GP160	1117
GP160	6388
GP160	7284
GP160	31
GP160	488
GP160	64087
GP160	6128
GP160	4836
GP160	3945
GP160	1973
GP160	10808
GP160	4176
GP160	9045
GP160	476
GP160	6159
GP160	84447
GP160	10970
GP160	253782
GP160	54039
GP160	59
GP160	3301
GP160	10382
GP160	1327
GP160	6123
GP160	1937
GP160	203068
GP160	10956
GP160	10694
GP160	6206
GP160	54386
GP160	6124
GP160	6210
GP160	3932
GP160	6400
GP160	10632
GP160	25923
GP160	1938
GP160	8803
GP160	112939
GP160	81542
GP160	4522
GP160	6155
GP160	3848
GP160	10383
GP160	7170
GP160	6158
GP160	1606
GP160	387357
GP160	5111
GP160	1315
GP160	92609
GP160	8802
GP160	347733
GP160	8140
GP160	3009
GP160	6520
GP160	506
GP160	3703
GP160	23184
GP160	283578
GP160	52
GP160	56886
GP160	3309
GP160	64746
GP160	55768
GP160	55706
GP160	72
GP160	5481
GP160	23012
GP160	6234
GP160	2923
GP160	2950
GP160	6136
GP160	6135
GP160	51726
GP160	388697
GP160	5701
GP160	10376
GP160	3190
GP160	8148
GP160	6188
GP160	4691
GP160	2079
GP160	1207
GP160	5589
GP160	6184
GP160	6176
GP160	6181
GP160	6175
GP160	347688
GP160	23753
GP160	81542
GP160	5682
GP160	5684
GP160	916
GP160	1665
GP160	7415
GP160	5495
GP160	5478
GP160	3178
GP160	155971
GP160	23193
GP160	10419
GP160	6726
GP160	26121
GP160	5691
GP160	11329
GP160	27248
GP160	6224
GP160	3312
GP160	25777
GP160	23225
GP160	821
GP160	3329
GP160	26227
GP160	9967
GP160	5034
GP160	3181
GP160	2597
GP160	7417
GP160	5052
GP160	1047
GP160	6400
GP160	83657
GP160	79084
GP160	6520
GP160	3313
GP160	6634
GP160	28577
GP160	6388
GP160	488
GP160	6633
