#	rank	protein_a	protein_b	d_AB	s_AB
133	HA [Flu]	REV [Jurkat]	1.39728682171	0.0857518363925
134	MA [Jurkat]	PB1 [Flu]	1.32845188285	0.0870440153504
135	NEP [Flu]	PR [Jurkat]	1.33263157895	0.0877175275359
136	PA [Flu]	VPR [Jurkat]	1.32461538462	0.0880612562434
137	MA [Jurkat]	PA [Flu]	1.33484162896	0.0919610074144
138	CA [Jurkat]	PB2 [Flu]	1.3003875969	0.0928231444824
139	NEP [Flu]	VPR [Jurkat]	1.33435114504	0.095068090044
140	PB1 [Flu]	VPU [Jurkat]	1.33232169954	0.0982098038359
141	PB2 [Flu]	VPU [Jurkat]	1.32180451128	0.111844722455
142	MA [Jurkat]	PB2 [Flu]	1.3326446281	0.11538886749
143	PB2 [Flu]	RT [Jurkat]	1.34274193548	0.116193762258
144	PA [Flu]	VPU [Jurkat]	1.35634028892	0.120755639166
145	NEP [Flu]	VPU [Jurkat]	1.36624203822	0.127928461835
146	HA [Flu]	NCC [Jurkat]	1.45320197044	0.144919439436
147	GP41 [Jurkat]	PB1 [Flu]	1.41349480969	0.148165756719
148	GP41 [Jurkat]	PB2 [Flu]	1.39212328767	0.150946341588
149	GP41 [Jurkat]	NEP [Flu]	1.42230347349	0.15277273985
150	GP160 [Jurkat]	NEP [Flu]	1.41637630662	0.153851381396
151	GP41 [Jurkat]	PA [Flu]	1.42435424354	0.157552436523
152	GP160 [Jurkat]	PA [Flu]	1.42706502636	0.16726902776
