# This file contains a filtered version of the Human Interactome that includes
# only the yeast two-hybrd interactions ("Binary interactions").
# gene_ID_1	 gene_ID_2	data_source(s)
56893	9278	binary;literature;signaling
3064	9001	binary;literature;signaling
50618	8871	binary;literature;signaling
1398	2137	binary;literature
10691	79753	binary;literature;signaling
51297	56893	binary;literature
2661	27258	binary;literature;signaling
578	7416	binary;literature;signaling
5365	64218	binary;literature
5764	6449	binary;literature;signaling
10616	55072	binary;literature
10557	2885	binary;literature
3482	55690	binary;literature;signaling
1114	865	binary;literature;signaling
1822	23543	binary;literature;signaling
6051	9372	binary;literature
23595	4176	binary;literature
4086	5989	binary;literature;signaling
10539	83755	binary;literature;signaling
100131816	8665	binary;literature
10919	3987	binary;literature;signaling
6919	7186	binary;literature;signaling
11267	84313	binary;literature;complexes
1911	3312	binary;literature;signaling
1956	322	binary;literature
3691	6310	binary;literature;signaling
10211	351	binary;literature;signaling
5050	7157	binary;literature;signaling
10524	51059	binary;literature
11143	1663	binary;literature;signaling
2885	8939	binary;literature
4088	8888	binary;literature;signaling
599	638	binary;literature
10533	81631	binary;literature;signaling
3600	3601	binary;literature
55729	60676	binary;literature;signaling
25	80831	binary;literature
7917	8612	binary;literature;signaling
7132	8717	binary;literature;signaling
2060	2534	binary;literature
2885	57190	binary;literature
23421	65109	binary;literature
467	55183	binary;literature
29089	5987	binary;literature
51691	5976	binary;literature;signaling
2975	3486	binary;literature;signaling
9706	9869	binary;literature;signaling
55339	7704	binary;literature
23002	55660	binary;literature;signaling
1856	414301	binary;literature
10980	3910	binary;literature;signaling
10181	55183	binary;literature
25788	26150	binary;literature;signaling
63978	9139	binary;literature
115123	7322	binary;literature
56901	81890	binary;literature;signaling
3399	7248	binary;literature
10915	3064	binary;literature;signaling
55740	6708	binary;literature;signaling
121506	56893	binary;literature;signaling
1793	2885	binary;literature
81552	8481	binary;literature
79656	9099	binary;literature;signaling
1936	84164	binary;literature;signaling
4356	9001	binary;literature;signaling
1410	26353	binary;literature
26003	2801	binary;literature;signaling
6194	93145	binary;literature
11189	54715	binary;literature;signaling
6271	6285	binary;literature;signaling
10524	29903	binary;literature;signaling
11338	4090	binary;literature;signaling
10980	5047	binary;literature;signaling
11201	9802	binary;literature;signaling
7874	9915	binary;literature;signaling
6663	7329	binary;literature;signaling
26140	81873	binary;literature
55068	84708	binary;literature;signaling
26135	5349	binary;literature
1778	27185	binary;literature
1857	5307	binary;literature;signaling
10551	56893	binary;literature;signaling
51224	8161	binary;literature;signaling
1432	23770	binary;literature;signaling
267	51619	binary;literature
4595	90678	binary;literature;signaling
55791	9001	binary;literature;signaling
5894	6009	binary;literature;signaling
5782	80108	binary;literature;signaling
25855	9111	binary;literature
4087	55599	binary;literature
1513	2261	binary;literature;signaling
5335	79890	binary;literature
6015	7322	binary;literature
2203	2203	binary;literature
197131	403	binary;literature;signaling
197259	5089	binary;literature
10425	7321	binary;literature
25865	51564	binary;literature;signaling
23281	26150	binary;literature;signaling
81628	8697	binary;literature;signaling
10900	8328	binary;literature;signaling
8676	8676	binary;literature
10320	1173	binary;literature;signaling
25930	9402	binary;literature
4792	7988	binary;literature
509	771	binary;literature;signaling
28996	7329	binary;literature;signaling
5335	6237	binary;literature
11236	7328	binary;literature
6310	639	binary;literature;signaling
1027	896	binary;literature;signaling
5295	64714	binary;literature
23230	2534	binary;literature
23327	396	binary;literature;signaling
4085	4085	binary;literature
1400	6303	binary;literature;signaling
51073	83755	binary;literature;signaling
4176	9939	binary;literature
1398	8724	binary;literature
2034	405	binary;literature;signaling
10980	4331	binary;literature;signaling
351	4763	binary;literature;signaling
26580	85027	binary;literature
375	51729	binary;literature;signaling
2885	6237	binary;literature
54840	9463	binary;literature;signaling
1999	7322	binary;literature
54810	9869	binary;literature;signaling
10116	9856	binary;literature
1937	55743	binary;literature;signaling
1915	5217	binary;literature;signaling
26994	9372	binary;literature;signaling
10625	5217	binary;literature;signaling
26292	4609	binary;literature;signaling
11030	54472	binary;literature;signaling
4281	55284	binary;literature
23136	51562	binary;literature;signaling
30008	84528	binary;literature;signaling
6252	79666	binary;literature
358	7205	binary;literature;signaling
5793	7010	binary;literature
27229	79991	binary;literature
26585	7533	binary;literature
129807	84528	binary;literature;signaling
23421	65991	binary;literature
149371	9146	binary;literature;signaling
4188	9139	binary;literature;signaling
30008	6310	binary;literature;signaling
