#PROTEIN	GENE ID
NC	65993
NC	6152
NC	6173
NC	6143
NC	6142
NC	6128
NC	6141
NC	6426
NC	23475
NC	10240
NC	55037
NC	9188
NC	10810
NC	28957
NC	51116
NEF	10994
NEF	10857
NEF	10005
NEF	10613
NEF	6341
NEF	11160
NEF	3861
NEF	3848
NEF	10382
NEF	6184
NEF	476
NEF	292
NEF	6176
NEF	203068
NEF	7388
NEF	3303;3304
NEF	3868
NEF	3329
NEF	3312
NEF	293
NEF	3858
NEF	3866
NEF	6206
NEF	1937
NEF	790
NEF	6136
NEF	5518
NEF	4836
NEF	3301
NEF	3187
NEF	3857
NEF	2521
NEF	3313
NEF	7417
NEF	6193
NEF	7203
NEF	7284
NEF	3838
NEF	3306
NEF	9520
NEF	60
NEF	3190
NEF	6217
NEF	1915
NEF	10376
NEF	10383
NEF	5591
NEF	5250
NEF	708
NEF	10970
NEF	7280
NEF	83858
NEF	10985
NEF	23197
NEF	84617
NEF	552900;654483
NEF	23787
NEF	10994
NEF	10005
NEF	5884
NEF	11160
NEF	6184
NEF	292
NEF	3303;3304
NEF	3309
NEF	293
NEF	6390
NEF	3301
NEF	6158
NEF	7284
NEF	9378
NEF	60
NEF	6224
NEF	6228
NEF	10376
NEF	10383
NEF	5591
NEF	5214
NEF	6128
NEF	8402
NEF	83858
NEF	347733
NEF	10005
NEF	26227
NEF	3861
NEF	3848
NEF	476
NEF	292
NEF	203068
NEF	3303;3304
NEF	3329
NEF	3312
NEF	293
NEF	3858
NEF	6187
NEF	6129
NEF	6206
NEF	498
NEF	6137
NEF	1937
NEF	4836
NEF	3301
NEF	4176
NEF	3857
NEF	3313
NEF	6232
NEF	6144
NEF	2010
NEF	60
NEF	6224
NEF	6155
NEF	6194
NEF	9349
NEF	10376
NEF	10383
NEF	6152
NEF	6143
NEF	10970
NEF	7280
NEF	83858
NEF	84617
NEF	347733
NEF	10005
NEF	10294
NEF	3848
NEF	292
NEF	203068
NEF	3303;3304
NEF	3008
NEF	6193
NEF	7284
NEF	1915
NEF	10383
NEF	5591
NEF	5250
NEF	113457;7278
NEF	92609
NEF	23511
NEF	51329
NEF	54814
p6	213
p6	3848
p6	6176
p6	4869
p6	3303;3304
p6	3309
p6	3312
p6	6206
p6	6136
p6	3305
p6	2521
p6	3849
p6	3313
p6	3306
p6	90019
p6	11100
p6	552900;654483
p6	23112
p6	3892
p6	3861
p6	3868
p6	3309
p6	3312
p6	1302
p6	6737
p6	54474
p6	6124
p6	3313
p6	6158
p6	3306
p6	2969
p6	5251
p6	3872
p6	3884
p6	55770
p6	11068
p6	3848
p6	6176
p6	3303;3304
p6	3309
p6	3312
p6	6206
p6	3849
p6	3313
p6	3306
p6	117159
p6	552900;654483
p6	3500
p6	3303;3304
p6	3309
p6	3312
p6	6737
p6	6124
p6	6217
p6	51329
Pol	10857
Pol	8665
Pol	5537
Pol	8471
Pol	10419
Pol	8664
Pol	8667
Pol	6885
Pol	10294
Pol	6474
Pol	5495
Pol	51366
Pol	9131
Pol	213
Pol	476
Pol	292
Pol	6176
Pol	3875
Pol	3856
Pol	203068
Pol	3303;3304
Pol	3326
Pol	7431
Pol	3008
Pol	3329
Pol	3309
Pol	3312
Pol	3858
Pol	9601
Pol	7184
Pol	6628
Pol	6187
Pol	1832
Pol	6950
Pol	6139
Pol	5689
Pol	6188
Pol	6206
Pol	6137
Pol	790
Pol	6136
Pol	5518
Pol	3301
Pol	3187
Pol	5701
Pol	6124
Pol	3313
Pol	6232
Pol	23310
Pol	5704
Pol	6157
Pol	6158
Pol	6203
Pol	6193
Pol	4131
Pol	7203
Pol	7284
Pol	3654
Pol	4670
Pol	3838
Pol	3832
Pol	1207
Pol	3306
Pol	60
Pol	6224
Pol	5687
Pol	6189
Pol	6154
Pol	6155
Pol	5700
Pol	6202
Pol	7531
Pol	6208
Pol	6191
Pol	6194
Pol	6234
Pol	6135
Pol	6132
Pol	4904
Pol	1915
Pol	10383
Pol	5591
Pol	6152
Pol	6143
Pol	8241
Pol	6142
Pol	6742
Pol	6141
Pol	4170
Pol	10155
Pol	8668
Pol	10381
Pol	7280
Pol	8661
Pol	5955
Pol	3735
Pol	11329
Pol	5954
Pol	6921
Pol	6923
Pol	10989
Pol	23352
Pol	83858
Pol	2800
Pol	8663
Pol	79084
Pol	84790
Pol	84617
Pol	347733
Pol	85293
Pol	552900;654483
Pol	8994
Pol	51386
Pol	23012
Pol	51647
Pol	10939
Pol	8471
Pol	10419
Pol	10294
Pol	5495
Pol	292
Pol	203068
Pol	3303;3304
Pol	3008
Pol	3312
Pol	293
Pol	6129
Pol	6139
Pol	2091
Pol	6137
Pol	6134
Pol	790
Pol	3301
Pol	6124
Pol	6122
Pol	23521
Pol	11224
Pol	6157
Pol	6158
Pol	6159
Pol	7284
Pol	3306
Pol	6154
Pol	6138
Pol	6155
Pol	6202
Pol	6207
Pol	6205
Pol	6130
Pol	6194
Pol	9349
Pol	101929876;6231
Pol	6132
Pol	10376
Pol	10383
Pol	5591
Pol	2079
Pol	6143
Pol	5250
Pol	54726
Pol	6142
Pol	6128
Pol	8402
Pol	6141
Pol	5708
Pol	11329
Pol	5954
Pol	92609
Pol	51144
Pol	83858
Pol	79084
Pol	84617
Pol	347733
Pol	552900;654483
Pol	8607
Pol	10419
Pol	5495
Pol	3856
Pol	203068
Pol	3303;3304
Pol	7431
Pol	3312
Pol	6129
Pol	6139
Pol	8348
Pol	1975
Pol	6137
Pol	6124
Pol	6157
Pol	6159
Pol	6164
Pol	7284
Pol	3832
Pol	60
Pol	6154
Pol	6138
Pol	6208
Pol	6228
Pol	6205
Pol	6130
Pol	6194
Pol	6161
Pol	6132
Pol	10376
Pol	10383
Pol	5591
Pol	2079
Pol	8241
Pol	6142
Pol	6128
Pol	8402
Pol	6141
Pol	8668
Pol	7280
Pol	57538
Pol	84617
Pol	347733
Pol	8994
Pol	8607
Pol	10857
Pol	5537
Pol	8471
Pol	10419
Pol	8664
Pol	26227
Pol	6885
Pol	10534
Pol	1729
Pol	10294
Pol	5495
Pol	8666
Pol	11160
Pol	51366
Pol	10592
Pol	8838
Pol	9131
Pol	3105
Pol	3848
Pol	10382
Pol	476
Pol	292
Pol	6176
Pol	6181
Pol	3875
Pol	3856
Pol	203068
Pol	3303;3304
Pol	7431
Pol	3880
Pol	3855
Pol	3329
Pol	3309
Pol	3312
Pol	26986
Pol	291
Pol	293
Pol	3858
Pol	3852
Pol	9601
Pol	7184
Pol	6187
Pol	1832
Pol	3310
Pol	5702
Pol	6129
Pol	6188
Pol	1975
Pol	6206
Pol	6137
Pol	10971
Pol	790
Pol	5518
Pol	3301
Pol	3187
Pol	4176
Pol	3857
Pol	682
Pol	3849
Pol	6124
Pol	3313
Pol	6122
Pol	6232
Pol	6157
Pol	6125
Pol	6203
Pol	7203
Pol	7284
Pol	9045
Pol	3838
Pol	3832
Pol	1207
Pol	3306
Pol	6396
Pol	8662
Pol	60
Pol	6189
Pol	6154
Pol	6155
Pol	6202
Pol	7531
Pol	6208
Pol	6207
Pol	6205
Pol	6191
Pol	6194
Pol	6156
Pol	6161
Pol	6132
Pol	6169
Pol	4904
Pol	1915
Pol	10376
Pol	7277
Pol	10383
Pol	5591
Pol	6143
Pol	8241
Pol	5250
Pol	3192
Pol	8402
Pol	3959
Pol	10155
Pol	8668
Pol	10381
Pol	7280
Pol	8661
Pol	5955
Pol	11329
Pol	5954
Pol	92609
Pol	23352
Pol	83858
Pol	8663
Pol	79084
Pol	84790
Pol	83732
Pol	84617
Pol	347733
Pol	83443
Pol	51009
Pol	552900;654483
Pol	23753
Pol	54442
Pol	51726
Pol	8994
Pol	26993
Pol	22870
Pol	51386
Pol	51441
PR	5352
PR	8664
PR	10534
PR	1729
PR	5495
PR	213
PR	3848
PR	292
PR	6176
PR	203068
PR	3303;3304
PR	7431
PR	3329
PR	3312
PR	3858
PR	3301
PR	3857
PR	2521
PR	3313
PR	6122
PR	7203
PR	7284
PR	83481
PR	60
PR	6224
PR	7411
PR	1915
PR	10383
PR	2969
PR	5591
PR	6128
PR	3959
PR	2296
PR	10155
PR	10381
PR	7280
PR	5954
PR	10208
PR	57805
PR	7840
PR	165545
PR	10342
PR	2800
PR	84790
PR	83475
PR	11100
PR	347733
